date,tfp_growth,utilization_growth,capital_deepening
1985Q1,2.8293997809230884,-1.4502175696417918,2.0829899846238997
1985Q2,1.5896016246406415,-1.348057614221608,2.541822994760648
1985Q3,1.9147642673668177,-0.7462832361834101,2.663192622127461
1985Q4,1.174426407803382,0.03265706482465025,2.574499873573391
1986Q1,0.9550369508599541,0.44882702377870787,3.232074393868995
1986Q2,2.18040686969614,-0.4649241774612116,3.9975593552429736
1986Q3,1.53867212477449,-0.7211030837407094,3.4060671219505863
1986Q4,1.6336857920822256,-1.0534601034626716,2.813387654964162
1987Q1,-0.3890326790821559,0.03291694392201283,1.2431290924916891
1987Q2,-0.16019641872821566,0.8903806384980122,0.10473810565134745
1987Q3,0.07269307723619461,0.8447760028779341,0.0017101232416228962
1987Q4,0.4653846644026585,1.1471466384316336,-0.002308262000773831
1988Q1,2.9757407867252814,-0.7056088462837574,1.5548519900588844
1988Q2,2.1829114426380487,-1.0109150361053856,1.0594310736138206
1988Q3,2.2696035700114328,-1.1259420135157026,1.5814189773907419
1988Q4,2.1622156182323535,-1.2419385212931775,1.315093674400146
1989Q1,0.4370080574643618,-0.0949869009961885,0.1789320192376329
1989Q2,-0.34319374443375805,-0.09886282174030697,1.1709788176570586
1989Q3,-0.20495790865560326,-0.5318420257964319,0.9442785574781312
1989Q4,-0.4874861842954602,-0.7826939232169983,2.1364861338382264
1990Q1,0.04659098262190381,-0.5040269330816558,2.8867487050585106
1990Q2,0.6498287742775526,0.0846470015485451,3.5854153997118607
1990Q3,0.19613959658843144,0.19397223239746159,4.418620073863694
1990Q4,0.3408695575914001,-0.7182707850833481,4.473640757008533
1991Q1,0.5628822775504483,-2.0295059675806906,5.4760806267088755
1991Q2,1.0538030196594252,-2.0696451101543474,5.329300229372138
1991Q3,0.7790727072118865,-1.106583323883496,4.562437440959029
1991Q4,0.6801502121704122,0.09659074988476749,4.329738330779087
1992Q1,2.8184608860633507,0.8145600511586664,3.875458827392732
1992Q2,1.8049497443944824,1.3965039396300918,2.6620029568628922
1992Q3,2.098770770652723,0.930133004772677,2.5604828404145126
1992Q4,2.1374598471573787,1.0636728954699886,1.83050559044048
1993Q1,-2.1723834711260563,1.7749361945253948,0.6064029221596827
1993Q2,-2.2515240766476827,1.4577946898967062,0.3072362782857547
1993Q3,-3.286425727835074,1.788407931610748,-0.05348702426727314
1993Q4,-2.2548606831051967,1.7598702852612946,-0.30010436147220265
1994Q1,-1.4029824551046894,1.5930043538600993,-0.45151121336833466
1994Q2,-1.0667608241898536,1.4858435062051616,-1.0116660303351828
1994Q3,-0.34233328025259757,0.8666147963765214,-1.431353803177886
